Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2017;22.832.861
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2016;22.843.610
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2015;22.890.383
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2014;22.985.676
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2013;23.196.386
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2012;23.298.356
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2011;23.283.187
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2010;23.226.185
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2009;23.116.988
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2008;22.847.737
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2007;22.339.962
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2006;22.100.466
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2005;21.780.869
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2004;21.285.247
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2003;21.034.326
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2002;20.564.089
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2001;20.165.514
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2000;19.821.384
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;1999;19.670.642
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;1998;19.488.465
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2022;24.210.039
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2021;24.162.154
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2020;24.195.205
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2019;23.983.780
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2018;23.826.378
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2017;23.739.271
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2016;23.713.398
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2015;23.733.999
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2014;23.785.665
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2013;23.933.397
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2012;23.966.965
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2011;23.907.306
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2010;23.794.846
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2009;23.628.819
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2008;23.310.085
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2007;22.860.775
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2006;22.608.498
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2005;22.327.661
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2004;21.912.437
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2003;21.682.738
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2002;21.273.805
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2001;20.951.328
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2000;20.678.407
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;1999;20.531.518
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;1998;20.364.186
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2022;41.932.488
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2021;41.944.959
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2020;42.016.642
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2019;41.989.330
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2018;41.988.289
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2017;41.999.325
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2016;41.938.427
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2015;41.894.738
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2014;41.747.854
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2013;41.583.545
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2012;41.529.063
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2011;41.439.006
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2010;41.273.297
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2009;41.097.136
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2008;40.889.060
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2007;40.681.183
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2006;40.564.798
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2005;40.377.920
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2004;40.163.358
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2003;40.052.896
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2002;39.859.948
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2001;39.746.185
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2000;39.575.911
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;1999;39.453.204
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;1998;39.215.566
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2022;20.487.167
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2021;20.497.801
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2020;20.535.713
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2019;20.522.283
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2018;20.522.724
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2017;20.527.756
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2016;20.502.104
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2015;20.480.756
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2014;20.415.429
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2013;20.341.666
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2012;20.322.848
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2011;20.284.480
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2010;20.208.250
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2009;20.124.352
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2008;20.045.064
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2007;19.944.277
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2006;19.884.997
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2005;19.788.835
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2004;19.679.524
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2003;19.619.576
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2002;19.515.911
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2001;19.448.676
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2000;19.349.918
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;1999;19.291.305
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;1998;19.166.204
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2022;21.445.321
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2021;21.447.158
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2020;21.480.929
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2019;21.467.047
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2018;21.465.565
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2017;21.471.569
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2016;21.436.323
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2015;21.413.982
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2014;21.332.425
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2013;21.241.879
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2012;21.206.215
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2011;21.154.526
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2010;21.065.047
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2009;20.972.784
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2008;20.843.996
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2007;20.736.906
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2006;20.679.801
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2005;20.589.085
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2004;20.483.834
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2003;20.433.320
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2002;20.344.038
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2001;20.297.508
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2000;20.225.993
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;1999;20.161.898
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;1998;20.049.362
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2022;5.542.932
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2021;5.440.148
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2020;5.434.153
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2019;5.036.878
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2018;4.734.691
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2017;4.572.807
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2016;4.618.581
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2015;4.729.644
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2014;5.023.487
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2013;5.546.238
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2012;5.736.258
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2011;5.751.487
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2010;5.747.734
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2009;5.648.671
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2008;5.268.762
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2007;4.519.554
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2006;4.144.166
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2005;3.730.610
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2004;3.034.326
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2003;2.664.168
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2002;1.977.946
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2001;1.370.657
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2000;923.879
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;1999;748.954
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;1998;637.085
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2022;2.778.214
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2021;2.725.152
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2020;2.719.877
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2019;2.520.145
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2018;2.373.878
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2017;2.305.105
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2016;2.341.506
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2015;2.409.627
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2014;2.570.247
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2013;2.854.720
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2012;2.975.508
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2011;2.998.707
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2010;3.017.935
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2009;2.992.636
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2008;2.802.673
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2007;2.395.685
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2006;2.215.469
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2005;1.992.034
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2004;1.605.723
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2003;1.414.750
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2002;1.048.178
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2001;716.837
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2000;471.465
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;1999;379.336
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;1998;322.261
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2022;2.764.718
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2021;2.714.996
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2020;2.714.276
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2019;2.516.733
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2018;2.360.813
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2017;2.267.702
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2016;2.277.075
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2015;2.320.017
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2014;2.453.240
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2013;2.691.518
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2012;2.760.750
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2011;2.752.780
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2010;2.729.799
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2009;2.656.035
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2008;2.466.089
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2007;2.123.869
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2006;1.928.697
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2005;1.738.576
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2004;1.428.603
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2003;1.249.418
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2002;929.767
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2001;653.820
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2000;452.413
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;1999;369.619
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;1998;314.824
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2022;11,68
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;11,48
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;11,45
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;10,71
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2018;10,13
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2017;9,82
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2016;9,92
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2015;10,14
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2014;10,74
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2013;11,77
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2012;12,14
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2011;12,19
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2010;12,22
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2009;12,08
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2008;11,41
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2007;10,00
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2006;9,27
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2005;8,46
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2004;7,02
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2003;6,24
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2002;4,73
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2001;3,33
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2000;2,28
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;1999;1,86
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;1998;1,60
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2022;11,94
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2021;11,73
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2020;11,70
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2019;10,94
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2018;10,37
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2017;10,10
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2016;10,25
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2015;10,53
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2014;11,18
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2013;12,31
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2012;12,77
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2011;12,88
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2010;12,99
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2009;12,95
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2008;12,27
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2007;10,72
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2006;10,02
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2005;9,15
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2004;7,54
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2003;6,73
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2002;5,10
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2001;3,55
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2000;2,38
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;1999;1,93
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;1998;1,65
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2022;11,42
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2021;11,24
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2020;11,22
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2019;10,49
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2018;9,91
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2017;9,55
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2016;9,60
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2015;9,78
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2014;10,31
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2013;11,25
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2012;11,52
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2011;11,51
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2010;11,47
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2009;11,24
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2008;10,58
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2007;9,29
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2006;8,53
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2005;7,79
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2004;6,52
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2003;5,76
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2002;4,37
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2001;3,12
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2000;2,19
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;1999;1,80
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;1998;1,55
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2022;7.070.515
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2021;7.183.373
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2020;7.320.973
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2019;7.364.092
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2018;7.392.864
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2017;7.416.081
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2016;7.443.197
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2015;7.460.369
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2014;7.473.995
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2013;7.510.869
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2012;7.494.016
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2011;7.446.863
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2010;7.371.820
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2009;7.265.948
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2008;7.113.961
